item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb,note,family,family_discount,recommended_nok,net_nok,description
F5 1002,2285.2113172,True,airfreight_weight,0.0,airfreight_weight,131449.98,131449.98,0.488,,200930.68,5635.4,4857.75,7212.82,5000,9422.26,7255.14,air 33.0kg,Climbing mushrooms,0.3,35108.0,24575.6,Fungi™ 5 | Climbing mushroom with 5 stems
F5 EXT 1002,2492.0701974,True,airfreight_weight,0.0,airfreight_weight,140956.0,140956.0,0.4632,,215461.31,6042.94,5209.05,7734.42,5000,10229.91,7877.03,air 33.0kg,Climbing mushrooms,0.3,38286.0,26800.2,Fungi™ 5 extended | Climbing mushroom with 5 stems for grass and loose fills
4551 9001,2171.1720604,True,airfreight_weight,0.0,airfreight_weight,128798.8,128798.8,0.5346,,196878.17,5521.74,4759.78,7067.34,7200.0,9197.01,7081.7,air 60.0kg,"Fully welded, and powdercoated gim barr",0.3,33356.0,23349.2,Rampit Twin™ 200 | Height installed in wet pour surfaces or artificial grass: 200 cm
4551 EXT,2283.3236811,True,airfreight_weight,0.0,airfreight_weight,133952.63,133952.63,0.5176,,204756.16,5742.69,4950.24,7350.14,7200.0,9634.89,7418.86,air 60.0kg,"Fully welded, and powdercoated gim barr",0.3,35079.0,24555.3,Rampit Twin™ 220 | Height installed in wet pour surfaces/artificial grass: 220 cm - loose fills: 200 cm
4552 6011,1424.9048919000002,True,airfreight_weight,0.0,airfreight_weight,91915.31,91915.31,0.6687,,140499.12,3940.51,3396.74,5043.5,5000,6063.32,4668.76,air 40.0kg,"Fully welded, and powdercoated activity rack",0.3,21891.0,15323.7,Rampit™ 85 | Height installed in wet pour surfaces/artificial grass: 85 cm
4553 6011,1569.8623261999999,True,airfreight_weight,0.0,airfreight_weight,98576.71,98576.71,0.6244,,150681.54,4226.09,3642.92,5409.02,5000,6629.29,5104.55,air 40.0kg,"Fully welded, and powdercoated activity rack",0.3,24118.0,16882.6,Rampit™ 120 | Height installed in wet pour surfaces/artificial grass: 120 cm - grass/loose fills: 95 cm
4554 9001,1653.0484964,True,airfreight_weight,0.0,airfreight_weight,102399.46,102399.46,0.6025,,156524.89,4389.98,3784.19,5618.78,5000,6954.07,5354.64,air 40.0kg,"Fully welded, and powdercoated activity rack",0.3,25396.0,17777.2,Rampit™ 150 | Height installed in wet pour surfaces/artificial grass: 150 cm - loose fills: 126 cm
4562 1002 E,3035.2537579,False,flat_uplift,0.0,flat_uplift,186437.07,186437.07,0.589,,284982.38,7992.76,6889.81,10230.02,41066.7253478176,15840.02,12196.82,,"Fully welded, and powdercoated activity bars and turning pads",0.3,46631.0,32641.7,Rampit Hopper™ activity bars - RAL 1002 Sand Yellow (STD)
4561 1002,367.3079487,False,flat_uplift,0.0,flat_uplift,25558.18,22561.47,0.8,floored,39067.5,1095.71,944.51,1402.41,4969.64532473536,1916.86,1475.98,,"Fully welded, and powdercoated activity bars and turning pads",0.3,5643.0,3950.1,Hopper™ rack
4561-1 1002,599.3570072,False,flat_uplift,0.0,flat_uplift,37070.85,36814.83,0.6,floored,56665.44,1589.27,1369.96,2034.12,8109.24936207039,3127.85,2408.45,,"Fully welded, and powdercoated activity bars and turning pads",0.3,9208.0,6445.6,Hopper™ turning pads
4562 EXT 1002 E,3277.0664513999996,False,flat_uplift,0.0,flat_uplift,201290.14,201290.14,0.5889,,307686.36,8629.52,7438.71,11045.03,44338.43053679363,17101.97,13168.51,,"Fully welded, and powdercoated activity bars and turning pads",0.3,50346.0,35242.2,Rampit Hopper™ activity bars (for loose fills) - RAL 1002 Sand Yellow (STD)
