handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-k5-02e-50uv,K5-02E-50UV,3D Caterpillar - 2 (SET with letters A-F) - UV colours,3D,K-3D animals,each,2137.0,1709.6,0.0,flat_uplift,105828.62,105097.74,0.6,floored,188727.71,5304.05,4558.93,6781.51,23150.00987600001,8929.29,6875.55
4soft-k5-02e-70uv,K5-02E-70UV,3D Caterpillar - 1 (SET with letters A-F) - UV colours,3D,K-3D animals,each,2137.0,1709.6,0.0,flat_uplift,105828.62,105097.74,0.6,floored,188727.71,5304.05,4558.93,6781.51,23150.00987600001,8929.29,6875.55
4soft-k5-03a-57uv,K5-03A-57UV,3D Butterfly - 2D wings,3D,K-3D animals,each,2077.0,1661.6,0.27,dims_scaled,114576.04,114576.04,0.7823,,204327.27,5742.47,4935.76,7342.05,15000,7992.87,6154.51
4soft-k5-04a-52uv,K5-04A-52UV,3D Bee,3D,K-3D animals,each,1373.0,1098.4,0.0936,dims_scaled,88673.1,88673.1,1.0866,,158133.7,4444.23,3819.9,5682.18,15000,5792.11,4459.92
4soft-l1-01a-05,L1-01A-05,3D Stone (brown) with number 1 (beige),3D,L-3D nature,each,147.0,117.6,0.0059,dims_scaled,15924.43,43563.71,2.5,capped,28398.57,798.12,686.0,1020.44,15000,1959.53,1508.84
4soft-l1-01b-05,L1-01B-05,3D Stone (brown) with number 2 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01c-05,L1-01C-05,3D Stone (brown) with number 3 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01d-05,L1-01D-05,3D Stone (brown) with number 4 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01e-05,L1-01E-05,3D Stone (brown) with number 5 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
4soft-l1-01f-05,L1-01F-05,3D Stone (brown) with number 6 (beige),3D,L-3D nature,each,147.0,117.6,0.0,flat_uplift,8189.71,7229.47,0.8,floored,14604.98,410.46,352.8,524.8,1592.4433560000007,614.23,472.96
