handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-l1-01i-05,L1-01I-05,3D Stone (brown) with number 9 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01j-05,L1-01J-05,3D Stone (brown) with number 0 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01k-05,L1-01K-05,3D Stone (brown) with number 10 (beige),3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01z-00,L1-01Z-00,3D Stone with number 0-10 (1 pc) - standard colours,3D,L-3D nature,each,147.0,124.95,0.0,flat_uplift,8705.86,7685.1,0.8,floored,15525.45,436.35,374.85,557.13,1692.8063565000002,652.94,502.76
4soft-l1-01z-50uv,L1-01Z-50UV,3D Stone with number 0-10 (1 pc) - UV colours,3D,L-3D nature,each,179.0,152.15,0.0,flat_uplift,10601.01,9358.05,0.8,floored,18905.13,531.33,456.45,678.41,2061.3084205000005,795.08,612.21
4soft-l1-02a-05,L1-02A-05,Set of 3D Stones with number 1-5 (5 pcs) - brown,3D,L-3D nature,each,721.0,612.85,0.0,flat_uplift,37955.71,37693.57,0.6,floored,67687.68,1902.38,1634.27,2428.98,8302.812129500002,3202.51,2465.93
4soft-l1-02b-05,L1-02B-05,Set of 3D Stones with number 1-10 (10 pcs) - brown,3D,L-3D nature,each,1421.0,1207.85,0.0059,dims_scaled,76285.96,76285.96,0.6317,,136043.3,3823.52,3284.66,4881.92,133.02,4735.43,3646.28
4soft-l1-03a-00,L1-03A-00,3D Stone (1 pc) - standard colours,3D,L-3D nature,each,131.0,111.35,0.0,flat_uplift,7758.28,6848.62,0.8,floored,13835.6,388.85,334.05,496.49,1508.5553245,581.87,448.04
4soft-l1-03a-02,L1-03A-02,3D Stone (1 pc) - beige,3D,L-3D nature,each,131.0,111.35,0.0,flat_uplift,7758.28,6848.62,0.8,floored,13835.6,388.85,334.05,496.49,1508.5553245,581.87,448.04
4soft-l1-03a-05,L1-03A-05,3D Stone (1 pc) - brown,3D,L-3D nature,each,131.0,111.35,0.0059,dims_scaled,15085.55,25830.35,2.5,capped,26902.56,756.1,649.54,965.4,133.02,448.63,345.44
4soft-l1-03a-50uv,L1-03A-50UV,3D Stone (1 pc) - UV colours,3D,L-3D nature,each,154.0,130.9,0.0,flat_uplift,9120.43,8051.05,0.8,floored,16264.77,457.12,392.7,583.66,1773.4161830000003,684.03,526.7
