code,name,list_eur,section,dimension,product_group,unit
M2-03Z-00,3D CUBE with graphics (5 sides) - standard colours,809.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M2-03Z-50UV,3D CUBE with graphics (5 sides) - UV colours,897.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-01A-03,3D Emoticon - YES,556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-01B-03,3D Emoticon - NO,556.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-02A-00,3D Half ball 50 cm with number 1-9  (1 pc) - standard colours,253.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-02A-01,3D Half ball 50 cm with number 1-9  (1 pc) - red,253.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-02A-03,3D Half ball 50 cm with number 1-9  (1 pc) - earth yellow,253.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-02A-04,3D Half ball 50 cm with number 1-9  (1 pc) - signal green,253.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-02A-09,3D Half ball 50 cm with number 1-9  (1 pc) - rose,253.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
M3-02A-50UV,3D Half ball 50 cm with number 1-9  (1 pc) - UV colours,272.0,3D Products/M-3D shapes/,3D,M-3D shapes,each
