row,sku,description,family,family_discount,group,parent_handle,parent_title,sub_product_handle,sub_product_title,size_slug,size_label,options_flat,variant_sku,variant_title,recommended_nok,net_nok,unmapped,error
109,4561 1002,Hopper™ rack,"Fully welded, and powdercoated activity bars and turning pads",0.3,A-equipment,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,,Component=rack:Rack|Surface=wet_pour:Wet pour,4561 1002,Rack / Wet pour,5643.0,3950.1,,
110,4561-1 1002,Hopper™ turning pads,"Fully welded, and powdercoated activity bars and turning pads",0.3,A-equipment,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,,Component=turning_pads:Turning pads|Surface=wet_pour:Wet pour,4561-1 1002,Turning pads / Wet pour,9208.0,6445.6,,
111,4562 EXT 1002 E,Rampit Hopper™ activity bars (for loose fills) - RAL 1002 Sand Yellow (STD),"Fully welded, and powdercoated activity bars and turning pads",0.3,A-equipment,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,,Component=activity_bars:Activity bars|Surface=loose_fills:Loose fills,4562 EXT 1002 E,Activity bars / Loose fills,50346.0,35242.2,,
112,4561 EXT 1002,Hopper™ rack for loose fills,"Fully welded, and powdercoated activity bars and turning pads",0.3,A-equipment,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,,Component=rack:Rack|Surface=loose_fills:Loose fills,4561 EXT 1002,Rack / Loose fills,6386.0,4470.2,,
113,4561 EXT-1 1002,Hopper™ turning pads for loose fills,"Fully welded, and powdercoated activity bars and turning pads",0.3,A-equipment,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,,Component=turning_pads:Turning pads|Surface=loose_fills:Loose fills,4561 EXT-1 1002,Turning pads / Loose fills,9208.0,6445.6,,
120,4556 9001,"Rampit Storm | Climbing pole, inkl anchoring system","Powder coated climbing pole, with bell on top",0.3,A-equipment,rampline-rampit-storm-en,Rampit Storm,rampline-rampit-storm-en,Rampit Storm,,,,4556 9001,Default,38316.0,26821.2,,
127,4560 6011,Rampbow | Balance arch,Powder coated balance arch,0.3,A-equipment,rampline-rampbow,Rampbow,rampline-rampbow,Rampbow,,,Surface=wet_pour:Wet pour,4560 6011,Wet pour,33831.0,23681.7,,
128,4560 6011 EXT,Rampbow | Balance arch for loose fills,Powder coated balance arch,0.3,A-equipment,rampline-rampbow,Rampbow,rampline-rampbow,Rampbow,,,Surface=loose_fills:Loose fills,4560 6011 EXT,Loose fills,38499.0,26949.3,,
135,FB33,FloatingBench™ |  Acticity bench incl installation. Minimum delivery is 30 lm (unit = meter),"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,A-equipment,rampline-floating-bench,Floating Bench,rampline-floating-bench,Floating Bench,,,Type=bench:Bench,FB33,Bench,14482.0,12309.7,,
136,FB33LED,LED-strip| incl. drivers (unit = meter),"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,A-equipment,rampline-floating-bench,Floating Bench,rampline-floating-bench,Floating Bench,,,Type=led_strip:LED strip (per meter),FB33LED,LED strip (per meter),4980.0,4233.0,,
137,FB33-1,Customization/site addaption,"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,A-equipment,rampline-floating-bench,Floating Bench,rampline-floating-bench,Floating Bench,,,Type=customization:Customization / site adaptation,FB33-1,Customization / site adaptation,20808.0,20808.0,,
138,FB33-2,Rigging & Operation,"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,A-equipment,rampline-floating-bench,Floating Bench,rampline-floating-bench,Floating Bench,,,Type=rigging:Rigging & operation,FB33-2,Rigging & operation,20808.0,20808.0,,
145,SD 02,ShockDeck™ U-piece | shock absorbing component of natural rubber,SHOCKDECK™,0.3,B-component,rampline-shockdeck,ShockDeck,rampline-shockdeck,ShockDeck,,ShockDeck component,,SD 02,U-piece,104.0,72.8,,
154,BP 01,Kangaaro,SHOCKDECK™,0.3,B-park,rampline-kangaroo,Kangaroo,rampline-kangaroo,Kangaroo,,Kangaroo,Surface=wet_pour:Wet pour,BP 01,Wet pour,367052.0,343515.0,,
155,BP 01 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-kangaroo,Kangaroo,rampline-kangaroo,Kangaroo,,Kangaroo,Surface=loose_fills:Loose fills,BP 01 LF,Loose fills,375418.0,349371.0,,
156,BP 01 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-kangaroo,Kangaroo,rampline-kangaroo,Kangaroo,,Kangaroo,Surface=artificial_grass:Artificial grass,BP 01 AG,Artificial grass,367052.0,343515.0,,
158,BP 03,Jane Jump,SHOCKDECK™,0.3,B-park,rampline-jane-jump,Jane Jump,rampline-jane-jump,Jane Jump,,Jane Jump,Surface=wet_pour:Wet pour,BP 03,Wet pour,262946.0,196431.0,,
159,BP 03 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-jane-jump,Jane Jump,rampline-jane-jump,Jane Jump,,Jane Jump,Surface=loose_fills:Loose fills,BP 03 LF,Loose fills,280535.0,208743.0,,
160,BP 03 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-jane-jump,Jane Jump,rampline-jane-jump,Jane Jump,,Jane Jump,Surface=artificial_grass:Artificial grass,BP 03 AG,Artificial grass,268162.0,200082.0,,
162,BP 05,Monkey Business,SHOCKDECK™,0.3,B-park,rampline-monkey-business,Monkey Business,rampline-monkey-business,Monkey Business,,Monkey Business,Surface=wet_pour:Wet pour,BP 05,Wet pour,227875.0,159512.0,,
163,BP 05 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-monkey-business,Monkey Business,rampline-monkey-business,Monkey Business,,Monkey Business,Surface=loose_fills:Loose fills,BP 05 LF,Loose fills,239996.0,167997.0,,
164,BP 05 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-monkey-business,Monkey Business,rampline-monkey-business,Monkey Business,,Monkey Business,Surface=artificial_grass:Artificial grass,BP 05 AG,Artificial grass,227875.0,159512.0,,
166,BP 06,All'In,SHOCKDECK™,0.3,B-park,rampline-all-in,All In,rampline-all-in,All In,,All In,Surface=wet_pour:Wet pour,BP 06,Wet pour,773685.0,591053.0,,
167,BP 06 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-all-in,All In,rampline-all-in,All In,,All In,Surface=loose_fills:Loose fills,BP 06 LF,Loose fills,823973.0,626255.0,,
168,BP 06 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-all-in,All In,rampline-all-in,All In,,All In,Surface=artificial_grass:Artificial grass,BP 06 AG,Artificial grass,786848.0,600267.0,,
170,BP 08,The floor is lava,SHOCKDECK™,0.3,B-park,rampline-the-floor-is-lava,The Floor Is Lava,rampline-the-floor-is-lava,The Floor Is Lava,,The Floor Is Lava,Surface=wet_pour:Wet pour,BP 08,Wet pour,500626.0,350438.0,,
171,BP 08 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-the-floor-is-lava,The Floor Is Lava,rampline-the-floor-is-lava,The Floor Is Lava,,The Floor Is Lava,Surface=loose_fills:Loose fills,BP 08 LF,Loose fills,568874.0,398212.0,,
172,BP 08 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-the-floor-is-lava,The Floor Is Lava,rampline-the-floor-is-lava,The Floor Is Lava,,The Floor Is Lava,Surface=artificial_grass:Artificial grass,BP 08 AG,Artificial grass,522662.0,365863.0,,
174,BP 10,Don't step ….,SHOCKDECK™,0.3,B-park,rampline-dont-step-into-the-water,Don't Step Into The Water,rampline-dont-step-into-the-water,Don't Step Into The Water,,Don't Step Into The Water,Surface=wet_pour:Wet pour,BP 10,Wet pour,162619.0,113833.0,,
175,BP 10 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-dont-step-into-the-water,Don't Step Into The Water,rampline-dont-step-into-the-water,Don't Step Into The Water,,Don't Step Into The Water,Surface=loose_fills:Loose fills,BP 10 LF,Loose fills,173791.0,121654.0,,
176,BP 10 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-dont-step-into-the-water,Don't Step Into The Water,rampline-dont-step-into-the-water,Don't Step Into The Water,,Don't Step Into The Water,Surface=artificial_grass:Artificial grass,BP 10 AG,Artificial grass,167007.0,116905.0,,
178,BP 11,Junior Power 2,SHOCKDECK™,0.3,B-park,rampline-junior-power-ii,Junior Power II,rampline-junior-power-ii,Junior Power II,,Junior Power II,Surface=wet_pour:Wet pour,BP 11,Wet pour,360240.0,252168.0,,
179,BP 11 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-junior-power-ii,Junior Power II,rampline-junior-power-ii,Junior Power II,,Junior Power II,Surface=loose_fills:Loose fills,BP 11 LF,Loose fills,404174.0,282922.0,,
180,BP 11 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-junior-power-ii,Junior Power II,rampline-junior-power-ii,Junior Power II,,Junior Power II,Surface=artificial_grass:Artificial grass,BP 11 AG,Artificial grass,372208.0,260546.0,,
182,BP 15,Marathon Play,SHOCKDECK™,0.3,B-park,rampline-marathon-play,Marathon Play,rampline-marathon-play,Marathon Play,,Marathon Play,Surface=wet_pour:Wet pour,BP 15,Wet pour,1321055.0,1155325.0,,
183,BP 15 LF,- for installation in grass/loose fills,SHOCKDECK™,0.3,B-park,rampline-marathon-play,Marathon Play,rampline-marathon-play,Marathon Play,,Marathon Play,Surface=loose_fills:Loose fills,BP 15 LF,Loose fills,1383990.0,1199380.0,,
184,BP 15 AG,- for installation in artificial grass,SHOCKDECK™,0.3,B-park,rampline-marathon-play,Marathon Play,rampline-marathon-play,Marathon Play,,Marathon Play,Surface=artificial_grass:Artificial grass,BP 15 AG,Artificial grass,1341092.0,1169351.0,,
