item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,freight_thb,duty_thb,vat_thb,note
3431S2,38726.0,False,flat_uplift,0.0,flat_uplift,2023668.57,2023668.57,0.35,,3372780.95,102542.63,87133.5,0.0,0.0,0.0,
3440S2,56420.0,False,flat_uplift,0.0,flat_uplift,2948287.47,2948287.47,0.35,,4913812.45,149394.6,126945.0,0.0,0.0,0.0,
3441S2,85873.0,False,flat_uplift,0.0,flat_uplift,4487385.5,4487385.5,0.35,,7478975.83,227383.24,193214.25,0.0,0.0,0.0,
3445S2,100228.0,False,flat_uplift,0.0,flat_uplift,5237521.38,5237521.38,0.35,floored,8729202.3,265393.86,225513.0,0.0,0.0,0.0,
3460S2,161839.0,False,flat_uplift,0.0,flat_uplift,8457070.11,8457070.11,0.35,floored,14095116.85,428533.72,364137.75,0.0,0.0,0.0,
3001-1,3476.0,False,flat_uplift,0.0,flat_uplift,195097.07,181642.1,0.45,floored,325161.78,9885.89,8400.33,0.0,0.0,0.0,
3002-1,2842.0,False,flat_uplift,0.0,flat_uplift,159512.62,148511.75,0.45,floored,265854.37,8082.77,6868.17,0.0,0.0,0.0,
3003-1,6027.0,False,flat_uplift,0.0,flat_uplift,338276.77,314947.33,0.45,floored,563794.62,17141.04,14565.25,0.0,0.0,0.0,
3004-1,6579.0,False,flat_uplift,0.0,flat_uplift,369258.81,343792.68,0.45,floored,615431.35,18710.95,15899.25,0.0,0.0,0.0,
3027-1,12058.0,False,flat_uplift,0.0,flat_uplift,630103.69,630103.69,0.35,floored,1050172.82,31928.4,27130.5,0.0,0.0,0.0,
3028-1,19490.0,False,flat_uplift,0.0,flat_uplift,1018470.8,1018470.8,0.35,floored,1697451.33,51607.6,43852.5,0.0,0.0,0.0,
3029-1,41550.0,False,flat_uplift,0.0,flat_uplift,2171239.71,2171239.71,0.35,,3618732.85,110020.3,93487.5,0.0,0.0,0.0,
3030-1,33165.0,False,flat_uplift,0.0,flat_uplift,1733072.56,1733072.56,0.35,floored,2888454.27,87817.65,74621.25,0.0,0.0,0.0,
3031-1,46686.0,False,flat_uplift,0.0,flat_uplift,2439626.88,2439626.88,0.35,floored,4066044.8,123619.93,105043.5,0.0,0.0,0.0,
3040-1,67841.0,False,flat_uplift,0.0,flat_uplift,3545104.04,3545104.04,0.35,floored,5908506.73,179636.28,152642.25,0.0,0.0,0.0,
3041-1,101231.0,False,flat_uplift,0.0,flat_uplift,5289934.22,5289934.22,0.35,floored,8816557.03,268049.71,227769.75,0.0,0.0,0.0,
3045-1,115585.0,False,flat_uplift,0.0,flat_uplift,6040017.85,6040017.85,0.35,floored,10066696.42,306057.69,260066.25,0.0,0.0,0.0,
3060-1,181310.0,False,flat_uplift,0.0,flat_uplift,9474548.05,9474548.05,0.35,floored,15790913.42,480091.01,407947.5,0.0,0.0,0.0,
3080,29614.0,True,exact,13.068,dims_scaled,1596331.09,1596331.09,0.3926,,2660551.82,80888.73,68733.55,69515.1,245456.56,103091.75,
3028-1S2,17034.0,False,flat_uplift,0.0,flat_uplift,890129.9,890129.9,0.35,,1483549.83,45104.35,38326.5,0.0,0.0,0.0,
3029-1S2,39094.0,False,flat_uplift,0.0,flat_uplift,2042898.8,2042898.8,0.35,floored,3404831.33,103517.06,87961.5,0.0,0.0,0.0,
3030-1S2,26077.0,False,flat_uplift,0.0,flat_uplift,1362681.54,1362681.54,0.35,,2271135.9,69049.33,58673.25,0.0,0.0,0.0,
3031-1S2,38726.0,False,flat_uplift,0.0,flat_uplift,2023668.57,2023668.57,0.35,,3372780.95,102542.63,87133.5,0.0,0.0,0.0,
3040-1S2,56420.0,False,flat_uplift,0.0,flat_uplift,2948287.47,2948287.47,0.35,,4913812.45,149394.6,126945.0,0.0,0.0,0.0,
3041-1S2,85873.0,False,flat_uplift,0.0,flat_uplift,4487385.5,4487385.5,0.35,,7478975.83,227383.24,193214.25,0.0,0.0,0.0,
3045-1S2,100228.0,False,flat_uplift,0.0,flat_uplift,5237521.38,5237521.38,0.35,floored,8729202.3,265393.86,225513.0,0.0,0.0,0.0,
3060-1S2,161839.0,False,flat_uplift,0.0,flat_uplift,8457070.11,8457070.11,0.35,floored,14095116.85,428533.72,364137.75,0.0,0.0,0.0,
3080S3,33259.0,False,flat_uplift,0.0,flat_uplift,1737984.63,1737984.63,0.35,floored,2896641.05,88066.55,74832.75,0.0,0.0,0.0,
RB1907,253200.0,True,exact,1.4859,dims_scaled,13231236.92,12749980.21,0.35,floored,22052061.53,670448.64,569700.0,15000,1982785.08,832769.73,
RB1906,214000.0,True,exact,0.2025,dims_scaled,11182798.98,10782205.21,0.35,floored,18637998.3,566650.91,481500.0,15000,1676278.07,704036.79,
RB1905,104400.0,True,exact,47.385,dims_scaled,5584857.13,5584857.13,0.382,,9308095.22,282993.94,240468.3,252064.03,866722.29,364023.36,
RB1904,36120.0,True,exact,15.651,dims_scaled,1940563.98,1940563.98,0.388,,3234273.3,98331.58,83555.25,83255.34,299075.39,125611.66,
RB1903,28980.0,True,exact,12.5685,dims_scaled,1561093.64,1561093.64,0.3916,,2601822.73,79103.19,67216.32,66858.01,239967.86,100786.5,
RB1902,11970.0,True,exact,10.6029,dims_scaled,693794.35,693794.35,0.4974,,1156323.92,35155.71,29872.84,56402.02,104874.51,44047.29,
RB1901,6783.0,True,exact,2.3976,dims_scaled,380708.69,380255.36,0.45,floored,634514.48,19291.14,16392.25,15000,56036.66,23535.4,
