handle,item_code,name,page,list_eur,remarks,status
berliner-90-295-024,90.295.024,DNA Tower XL.02,148,55357.0,,active
berliner-90-295-026,90.295.026,DNA Tower XL.04,149,95903.0,,active
berliner-90-293-561,90.293.561,DNA Combi.04,150,157219.0,,active
berliner-90-100-043-1,90.100.043.1,The Globe,154,29163.0,,active
berliner-90-295-700-1,90.295.700.1,Wonderwalls.01,122,12529.0,,active
berliner-90-295-700-2,90.295.700.2,Wonderwalls.02,125,17151.0,,active
berliner-90-295-700-3,90.295.700.3,Wonderwalls.03,126,15200.0,,active
berliner-90-295-000-1,90.295.000.1,Spoo S.01 (Ragged-Style),129,13209.0,"Extra charge 5 % for Mixed-Style, extra charge 9 % for
­Greenville-Style",active
berliner-90-295-100-1,90.295.100.1,Spoo M.01 (Ragged-Style),129,14962.0,,active
berliner-90-295-100-3,90.295.100.3,Spoo M.03 (Ragged-Style),130,23986.0,,active
berliner-90-295-100-6,90.295.100.6,Spoo M.06 (Ragged-Style),130,19383.0,,active
berliner-90-295-100-8,90.295.100.8,Spoo M.08 (Ragged-Style),130,19894.0,,active
berliner-90-295-600-3,90.295.600.3,Roo M.03 (Ragged-Style),131,17868.0,,active
berliner-90-295-500-1,90.295.500.1,Roo S.01 (Ragged-Style),131,14250.0,,active
berliner-90-295-600-2,90.295.600.2,Roo M.02 (Ragged-Style),132,17482.0,,active
berliner-90-296-001,90.296.001,SpooRoo Combi.01 (Ragged-Style),132,39874.0,,active
berliner-90-296-002,90.296.002,SpooRoo Combi.02 (Ragged-Style),133,19488.0,,active
berliner-90-296-003,90.296.003,SpooRoo Combi.03 (Ragged-Style),133,29416.0,,active
berliner-ladder-s,,Ladder S,134,500.0,,name_only_active
berliner-ladder-m,,Ladder M,134,868.0,,name_only_active
berliner-ramp-s,,Ramp S,134,1103.0,,name_only_active
berliner-ramp-m,,Ramp M,134,2641.0,,name_only_active
berliner-stairway-s,,Stairway S,134,1591.0,,name_only_active
berliner-stairway-m,,Stairway M,134,2630.0,,name_only_active
berliner-access-net-with-handrail-s,,Access Net with Handrail S,134,1089.0,,name_only_active
berliner-access-net-with-handrail-m,,Access Net with Handrail M,134,1970.0,,name_only_active
berliner-suspension-bridge-3,,Suspension Bridge,134,2640.0,Length 2 m,name_only_active
berliner-rubber-bridge-2,,Rubber Bridge,134,2200.0,,name_only_active
berliner-90-100-043-3,90.100.043.3,The Cube L,156,30889.0,,active
berliner-90-100-043-2,90.100.043.2,The Cube M,157,26631.0,,active
berliner-90-100-043-6,90.100.043.6,Cubiron L,158,37101.0,,active
berliner-90-100-043-5,90.100.043.5,Cubiron M,159,31991.0,,active
berliner-climbing-wall-hdpe-cosmo,,Climbing Wall (HDPE) Cosmo,160,2594.0,,name_only_active
berliner-climbing-wall-hdpe-cosmo-s,,Climbing Wall (HDPE) Cosmo S,160,2169.0,,name_only_active
berliner-climbing-ramp-hdpe-cosmo,,Climbing Ramp (HDPE) Cosmo,160,2842.0,,name_only_active
berliner-climbing-ramp-hdpe-cosmo-s,,Climbing Ramp (HDPE) Cosmo S,160,2395.0,,name_only_active
berliner-sliding-pole-cosmo,,Sliding Pole Cosmo,160,671.0,,name_only_active
berliner-access-net-cosmo,,Access Net Cosmo,160,1528.0,,name_only_active
berliner-access-net-cosmo-s,,Access Net Cosmo S,160,1239.0,,name_only_active
berliner-rubber-mats-cosmo,,Rubber Mats Cosmo,160,1858.0,,name_only_active
berliner-rubber-mats-cosmo-s,,Rubber Mats Cosmo S,160,1858.0,,name_only_active
berliner-duck-jibe-cosmo,,Duck Jibe Cosmo,160,6717.0,,name_only_active
berliner-net-wall-cosmo,,Net Wall Cosmo,160,2229.0,,name_only_active
berliner-net-wall-cosmo-s,,Net Wall Cosmo S,160,1856.0,,name_only_active
berliner-net-ramp-cosmo,,Net Ramp Cosmo,160,1615.0,,name_only_active
berliner-net-ramp-cosmo-s,,Net Ramp Cosmo S,160,1374.0,,name_only_active
berliner-chalkboard-cosmo,,Chalkboard Cosmo,160,2594.0,,name_only_active
berliner-banister-cosmo,,Banister Cosmo,160,2570.0,,name_only_active
berliner-banister-cosmo-s,,Banister Cosmo S,160,1899.0,,name_only_active
berliner-90-112-200,90.112.200,Cosmo.20,161,39949.0,Extra charge 5 % for coloured tubes,active
berliner-90-112-390,90.112.390,Cosmo.39,162,32654.0,,active
berliner-90-110-120,90.110.120,Cosmo Base (without Rubber Mats),162,21170.0,,active
berliner-90-112-99-105,90.112.99.105,Cosmo.105,163,27797.0,,active
berliner-90-112-99-111,90.112.99.111,Cosmo.111,164,23765.0,,active
berliner-90-111-040,90.111.040,Cosmo S.04,164,24529.0,,active
berliner-90-111-050,90.111.050,Cosmo S.05,165,22673.0,,active
berliner-90-111-000,90.111.000,Cosmo S Base,165,18110.0,,active
berliner-satellights-2,,Satellights,166,25367.0,,name_only_active
berliner-duck-jibe,,Duck Jibe,166,9292.0,,name_only_active
berliner-dangle-arc,,Dangle Arc,166,3276.0,,name_only_active
berliner-net-tunnel-2,,Net Tunnel,166,13632.0,,name_only_active
berliner-net-arc,,Net Arc,166,8680.0,,name_only_active
berliner-net-arc-with-climbing-ropes,,Net Arc with Climbing Ropes,166,10754.0,,name_only_active
berliner-chessboard-arc,,Chessboard Arc,166,11478.0,,name_only_active
berliner-wobble-way,,Wobble Way,166,11475.0,,name_only_active
berliner-rubber-mats,,Rubber Mats,166,185.0,each,name_only_active
berliner-banister,,Banister,166,3353.0,,name_only_active
berliner-71-133-000,71.133.000,Quadrifol Base,167,13198.0,,active
berliner-71-133-004,71.133.004,Quadrifol.04,168,25843.0,,active
berliner-71-133-006,71.133.006,Quadrifol.06,168,28024.0,,active
berliner-71-133-001,71.133.001,Quadrifol.01,169,54634.0,,active
berliner-71-133-002,71.133.002,Quadrifol.02,170,53507.0,,active
berliner-71-133-003,71.133.003,Quadrifol.03,171,61510.0,,active
berliner-90-100-045,90.100.045,Pluto,173,27589.0,,active
berliner-90-100-115,90.100.115,Phoenix,173,32071.0,,active
berliner-90-100-145,90.100.145,Pegasus,173,52123.0,,active
berliner-90-140-224,90.140.224,Neptun XXL,174,121640.0,,active
berliner-90-100-110,90.100.110,Neptun,175,17308.0,,active
berliner-90-141-020,90.141.020,Neptun.17,175,82208.0,Price with stainless steel slide,active
berliner-90-141-429,90.141.429,Neptun.20,176,59541.0,Price with stainless steel slide,active
berliner-90-141-336,90.141.336,Neptun.22,176,49258.0,Price with stainless steel slide,active
berliner-90-141-227,90.141.227,Irrland,177,173646.0,,active
berliner-90-141-232,90.141.232,Jupiter XXL,178,98156.0,,active
berliner-90-100-040,90.100.040,Jupiter,179,15247.0,,active
berliner-98-100-040,98.100.040,Mini Jupiter,179,12822.0,,active
berliner-90-140-027,90.140.027,Jupiter.03,179,22606.0,,active
berliner-90-140-712,90.140.712,Jupiter.13,180,31637.0,,active
berliner-90-140-001,90.140.001,Jupiter.07,180,45259.0,,active
berliner-90-140-030,90.140.030,Jupiter.02,181,17891.0,,active
berliner-90-140-921,90.140.921,Phoenix.02,181,71240.0,,active
berliner-90-100-601-000-10,90.100.601.000.10,Spaceball XL,182,21104.0,,active
