sku,sku_token,name,fob_usd,unit,pack_qty,carton_cbm,per_unit_cbm,freight_thb,duty_thb,import_vat_thb,landed_thb,retail_thb,retail_usd,retail_sgd,method
KT0009-00B,KT0009,WAVY TACTILE PATH (BLUE),125.4,SET,1.0,0.04,0.04,220.0,443.16,341.23,5216.01,11162.26,313.72,400.56,cbm_lcl
KT0010,KT0010,CONNECTOR,9.35,SET,15.0,0.04,0.002667,14.67,32.87,25.31,386.87,827.9,23.27,29.71,cbm_lcl
KT0012,KT0012,WEPLAY BALANCE STEPPING,104.5,SET,4.0,0.09,0.0225,123.75,363.34,279.77,4276.54,9151.8,257.21,328.41,cbm_lcl
KT0016,KT0016,WEPLAY HONEY HILLS,105.6,SET,1.0,0.07,0.07,385.0,393.16,302.73,4627.52,9902.89,278.32,355.37,cbm_lcl
KT0017,KT0017,WEPLAY SQUISHY TACTILE SHELL,49.5,SET,6.0,0.14,0.023333,128.33,179.08,137.89,2107.79,4510.66,126.77,161.87,cbm_lcl
KT1001,KT1001,TACTILE CUBE,76.95,SET,1.0,0.05,0.05,275.0,285.94,220.17,3365.51,7202.2,202.42,258.45,cbm_lcl
KT1002,KT1002,REFLECTOR CUBE,130.9,SET,1.0,0.05,0.05,275.0,467.13,359.69,5498.16,11766.06,330.69,422.23,cbm_lcl
KT1003,KT1003,CONSTRUCTION TOWER,99.0,SET,1.0,0.11,0.11,605.0,393.0,302.61,4625.56,9898.7,278.2,355.22,cbm_lcl
KT1004,KT1004,GEARS,156.2,SET,1.0,0.11,0.11,605.0,585.1,450.53,6886.68,14737.49,414.2,528.86,cbm_lcl
KT2001-00C,KT2001,SAND AND WATER TABLE (CLEAR),165.55,SET,1.0,0.16,0.16,880.0,644.01,495.89,7579.96,16221.11,455.9,582.1,cbm_lcl
KT2005,KT2005,WEPLAY SAND AND WATER CLAM,138.6,SET,1.0,0.18,0.18,990.0,564.49,434.66,6644.09,14218.36,399.61,510.23,cbm_lcl
KT3001-003,KT3001,WEPLAY TWISTER,16.38,SET,20.0,0.05,0.0025,13.75,56.39,43.42,663.69,1420.29,39.92,50.97,cbm_lcl
KT3002-006,KT3002,WEPLAY SQUEEZER,11.55,SET,30.0,0.03,0.001,5.5,39.34,30.29,463.05,990.92,27.85,35.56,cbm_lcl
KT3301,KT3301,MASSAGE ROLL,3.97,PC,60.0,0.06,0.001,5.5,13.88,10.69,163.41,349.69,9.83,12.55,cbm_lcl
KT3304,KT3304,MASSAGE BALL WITH STICK,4.14,PC,100.0,0.06,0.0006,3.3,14.23,10.96,167.54,358.53,10.08,12.87,cbm_lcl
KT3305,KT3305,MASSAGE BALL (15 CM),6.6,PC,50.0,0.05,0.001,5.5,22.72,17.49,267.37,572.18,16.08,20.53,cbm_lcl
KT3306,KT3306,MASSAGE BALL (9 CM),27.29,DZN,10.0,0.11,0.011,60.5,97.7,75.23,1149.98,2460.96,69.17,88.31,cbm_lcl
KT3307,KT3307,MASSAGE BALL (8 CM),21.24,DZN,15.0,0.11,0.007333,40.33,75.37,58.03,887.09,1898.37,53.35,68.12,cbm_lcl
KT3308,KT3308,MASSAGE BALL (7 CM),18.55,DZN,20.0,0.11,0.0055,30.25,65.33,50.3,768.89,1645.42,46.24,59.05,cbm_lcl
KT3310,KT3310,OLIVE MASSAGE BALL (L),14.28,DZN,15.0,0.06,0.004,22.0,50.16,38.62,590.38,1263.42,35.51,45.34,cbm_lcl
KT3311,KT3311,OLIVE MASSAGE BALL (S),11.28,DZN,40.0,0.06,0.0015,8.25,38.71,29.81,455.61,975.0,27.4,34.99,cbm_lcl
KT4301,KT4301,AIR CUSHION (60 CM),59.26,PC,6.0,0.16,0.026667,146.67,213.69,164.54,2515.18,5382.48,151.28,193.15,cbm_lcl
KT4302,KT4302,AIR CUSHION (35 CM),20.2,PC,6.0,0.06,0.01,55.0,73.34,56.47,863.24,1847.34,51.92,66.29,cbm_lcl
KT4303,KT4303,AIR CUSHION (30 CM),14.13,PC,10.0,0.09,0.009,49.5,52.41,40.35,616.82,1320.0,37.1,47.37,cbm_lcl
